epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1107.57,1.72664,1.48519,1.48595,0.89696,0.62692,0.73361,0.39381,1.77478,1.41308,1.65338,0.0011684,0.0011684,0.0011684
44,1132.82,1.6496,1.43197,1.44021,0.91412,0.65504,0.763,0.41844,1.74462,1.30927,1.62757,0.0011486,0.0011486,0.0011486
45,1158.69,1.64977,1.41104,1.44187,0.91446,0.66154,0.75693,0.41846,1.71301,1.34141,1.61505,0.0011288,0.0011288,0.0011288
46,1184.58,1.6675,1.42967,1.44089,0.89678,0.65,0.73669,0.40533,1.73437,1.38014,1.62586,0.001109,0.001109,0.001109
47,1210.25,1.67555,1.41242,1.45526,0.88492,0.65769,0.75182,0.42511,1.69939,1.34698,1.60506,0.0010892,0.0010892,0.0010892
48,1236.1,1.60974,1.36611,1.39798,0.88403,0.64505,0.75026,0.43241,1.67348,1.35274,1.58275,0.0010694,0.0010694,0.0010694
49,1261.68,1.66673,1.40197,1.44303,0.91342,0.60868,0.72972,0.41777,1.6815,1.44359,1.60979,0.0010496,0.0010496,0.0010496
50,1286.72,1.67566,1.36844,1.44592,0.90938,0.61754,0.73461,0.4105,1.71141,1.46091,1.62689,0.0010298,0.0010298,0.0010298
51,1312.42,1.63203,1.34872,1.41305,0.93627,0.62153,0.74527,0.41551,1.69989,1.4329,1.5982,0.00101,0.00101,0.00101
52,1338.54,1.67155,1.44073,1.44225,0.85762,0.62551,0.72309,0.41334,1.70112,1.49245,1.61019,0.0009902,0.0009902,0.0009902
53,1362.67,1.65049,1.3845,1.44588,0.90875,0.64231,0.75094,0.41994,1.70499,1.41505,1.61185,0.0009704,0.0009704,0.0009704
54,1388.35,1.65851,1.42481,1.44622,0.85405,0.6527,0.74431,0.42464,1.71157,1.42994,1.62402,0.0009506,0.0009506,0.0009506
55,1414.16,1.62114,1.39933,1.42079,0.87196,0.65484,0.74426,0.41651,1.72219,1.46207,1.63477,0.0009308,0.0009308,0.0009308
56,1439.04,1.63809,1.36393,1.41372,0.90449,0.64615,0.752,0.42027,1.73799,1.40322,1.60504,0.000911,0.000911,0.000911
57,1462.55,1.61025,1.3431,1.40263,0.90455,0.65608,0.74562,0.41135,1.71419,1.41459,1.60491,0.0008912,0.0008912,0.0008912
58,1488.51,1.62165,1.35448,1.40408,0.8831,0.66825,0.75282,0.4226,1.69904,1.38921,1.60476,0.0008714,0.0008714,0.0008714
59,1513.94,1.62815,1.36108,1.41709,0.90278,0.6786,0.75356,0.42219,1.72343,1.34454,1.59674,0.0008516,0.0008516,0.0008516
60,1540.16,1.59581,1.32389,1.39138,0.89283,0.67289,0.74754,0.42531,1.71106,1.40511,1.60383,0.0008318,0.0008318,0.0008318
61,1565.52,1.56918,1.29667,1.38143,0.90946,0.65675,0.75065,0.42315,1.69251,1.42902,1.59356,0.000812,0.000812,0.000812
62,1590.02,1.608,1.35334,1.40981,0.92998,0.66538,0.75425,0.42422,1.71671,1.39362,1.61536,0.0007922,0.0007922,0.0007922
63,1615.96,1.61336,1.35174,1.40719,0.88968,0.65135,0.74209,0.41893,1.71818,1.41435,1.64587,0.0007724,0.0007724,0.0007724
64,1641.5,1.65281,1.37165,1.42861,0.92184,0.62308,0.73713,0.41934,1.71803,1.47814,1.65002,0.0007526,0.0007526,0.0007526
65,1667.11,1.57355,1.34871,1.39584,0.87607,0.67973,0.75259,0.4261,1.70861,1.436,1.63569,0.0007328,0.0007328,0.0007328
66,1692.52,1.60197,1.33546,1.3916,0.92522,0.65769,0.74634,0.43246,1.70268,1.40349,1.62676,0.000713,0.000713,0.000713
67,1717.85,1.58558,1.32171,1.38931,0.91497,0.64615,0.7415,0.40694,1.71915,1.41017,1.63965,0.0006932,0.0006932,0.0006932
68,1743.93,1.64172,1.40299,1.41736,0.83524,0.72308,0.76092,0.42622,1.72831,1.37383,1.65008,0.0006734,0.0006734,0.0006734
69,1770.17,1.59919,1.3246,1.40568,0.89112,0.66103,0.74445,0.41649,1.73133,1.4781,1.64714,0.0006536,0.0006536,0.0006536
70,1796.33,1.56387,1.29004,1.38005,0.85745,0.66154,0.74726,0.41616,1.7042,1.48138,1.617,0.0006338,0.0006338,0.0006338
71,1821.61,1.57716,1.32431,1.37389,0.91402,0.62692,0.73823,0.41786,1.71191,1.46948,1.63415,0.000614,0.000614,0.000614
72,1846.99,1.60396,1.32959,1.4081,0.90183,0.65,0.74791,0.42485,1.69434,1.41121,1.61759,0.0005942,0.0005942,0.0005942
73,1873.08,1.55927,1.29103,1.38615,0.87864,0.67308,0.74977,0.4222,1.69531,1.43367,1.61701,0.0005744,0.0005744,0.0005744
74,1898.68,1.53514,1.22992,1.36453,0.91884,0.65318,0.74773,0.4293,1.68409,1.41134,1.60967,0.0005546,0.0005546,0.0005546
75,1924.49,1.57311,1.33489,1.38319,0.83921,0.69615,0.74892,0.42832,1.67989,1.41398,1.60738,0.0005348,0.0005348,0.0005348
76,1948.73,1.54642,1.32878,1.37128,0.88412,0.67496,0.75501,0.42098,1.69476,1.38563,1.62336,0.000515,0.000515,0.000515
77,1975.06,1.57258,1.33666,1.3863,0.91067,0.66538,0.75788,0.43609,1.68253,1.35775,1.618,0.0004952,0.0004952,0.0004952
78,2001.22,1.5997,1.32827,1.39691,0.90764,0.67308,0.75549,0.43795,1.68623,1.3536,1.60885,0.0004754,0.0004754,0.0004754
79,2027.39,1.56619,1.26371,1.36734,0.91068,0.66538,0.7548,0.43219,1.69748,1.34758,1.61219,0.0004556,0.0004556,0.0004556
