epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1205.53,1.6105,1.07106,1.13154,0.82749,0.56154,0.65491,0.34024,1.9131,1.59521,1.87157,0.00826712,0.00826712,0.00826712
43,1235.51,1.61743,1.05295,1.1262,0.76892,0.50385,0.58795,0.30633,1.95442,1.9202,1.78259,0.00818714,0.00818714,0.00818714
44,1263.78,1.6033,1.052,1.1285,0.90348,0.59231,0.67004,0.36543,1.85655,1.56906,1.76446,0.00810576,0.00810576,0.00810576
45,1293.18,1.62398,1.06723,1.13813,0.85643,0.58846,0.66828,0.33623,1.88805,1.50048,1.81155,0.00802302,0.00802302,0.00802302
46,1322.52,1.60478,1.05441,1.1219,0.82207,0.60769,0.67576,0.3542,1.85248,1.57185,1.76122,0.00793895,0.00793895,0.00793895
47,1351.21,1.56822,1.02576,1.11011,0.85304,0.60278,0.67733,0.35349,1.83614,1.64099,1.77181,0.00785359,0.00785359,0.00785359
48,1380.04,1.59864,1.03438,1.11817,0.84457,0.52308,0.60092,0.32946,1.88711,1.79574,1.86457,0.00776698,0.00776698,0.00776698
49,1407.93,1.56154,1.03249,1.11794,0.74957,0.60385,0.62115,0.31895,1.98263,1.7784,1.91469,0.00767916,0.00767916,0.00767916
50,1436.85,1.59955,1.03098,1.12067,0.78034,0.6,0.65983,0.35672,1.81891,1.63977,1.80468,0.00759016,0.00759016,0.00759016
51,1465.5,1.57194,1.01894,1.1108,0.86136,0.56923,0.67204,0.35612,1.81743,1.4707,1.75153,0.00750002,0.00750002,0.00750002
52,1493.63,1.59408,1.04376,1.12158,0.78754,0.58454,0.62431,0.33385,1.91503,1.82073,1.82721,0.00740879,0.00740879,0.00740879
53,1521.99,1.56874,1.02308,1.10708,0.8502,0.55385,0.64957,0.35594,1.79963,1.52023,1.72384,0.00731651,0.00731651,0.00731651
54,1551.11,1.57896,1.02383,1.11178,0.85957,0.58462,0.68646,0.37272,1.77947,1.43179,1.709,0.0072232,0.0072232,0.0072232
55,1580.31,1.54114,0.97987,1.10057,0.92046,0.56923,0.65029,0.34272,1.96202,1.50282,1.87811,0.00712893,0.00712893,0.00712893
56,1608.92,1.55201,0.995,1.0971,0.8382,0.57782,0.65205,0.35882,1.79101,1.57353,1.7725,0.00703371,0.00703371,0.00703371
57,1638.36,1.55011,1.00942,1.10757,0.80119,0.55798,0.62215,0.33533,1.87122,1.83369,1.77708,0.00693761,0.00693761,0.00693761
58,1666.9,1.52418,0.99351,1.10175,0.86215,0.53846,0.62268,0.35808,1.81366,1.67686,1.78635,0.00684065,0.00684065,0.00684065
59,1696.35,1.49508,0.97401,1.09524,0.824,0.59425,0.67115,0.3768,1.84683,1.51564,1.79962,0.00674289,0.00674289,0.00674289
60,1725.55,1.52856,0.97841,1.08765,0.80697,0.62308,0.6662,0.36417,1.85983,1.52436,1.78053,0.00664437,0.00664437,0.00664437
61,1754.82,1.50689,0.96761,1.0924,0.83997,0.54508,0.63069,0.36813,1.83312,1.59399,1.77856,0.00654512,0.00654512,0.00654512
62,1784.23,1.50773,0.96456,1.08579,0.88194,0.54592,0.63159,0.3794,1.77684,1.72167,1.7268,0.00644519,0.00644519,0.00644519
63,1813.71,1.5134,0.97653,1.09915,0.87118,0.58846,0.66537,0.3812,1.86476,1.55568,1.77345,0.00634464,0.00634464,0.00634464
64,1841.99,1.48877,0.94988,1.08509,0.75838,0.61154,0.65264,0.36356,1.82862,1.66531,1.81101,0.00624349,0.00624349,0.00624349
65,1870.82,1.50361,0.9683,1.08762,0.84094,0.56923,0.64344,0.35591,1.92463,1.70796,1.81795,0.00614179,0.00614179,0.00614179
66,1900.01,1.51085,0.95251,1.0775,0.8545,0.55385,0.62025,0.35231,1.84194,1.75121,1.78203,0.0060396,0.0060396,0.0060396
67,1928.73,1.50253,0.95527,1.08714,0.88354,0.5544,0.64415,0.35368,1.79398,1.58794,1.78743,0.00593695,0.00593695,0.00593695
68,1956.45,1.48369,0.93376,1.07635,0.91084,0.58937,0.67779,0.3869,1.84555,1.52327,1.77607,0.00583389,0.00583389,0.00583389
69,1985.4,1.46973,0.9252,1.08408,0.85218,0.6,0.68421,0.38253,1.83369,1.44377,1.80852,0.00573046,0.00573046,0.00573046
70,2012.68,1.45654,0.92485,1.08223,0.85134,0.59231,0.66961,0.37153,1.86628,1.67325,1.77434,0.00562671,0.00562671,0.00562671
71,2042.26,1.4842,0.93031,1.07543,0.81045,0.64231,0.69145,0.36565,1.87612,1.37334,1.79034,0.00552269,0.00552269,0.00552269
72,2071.12,1.45888,0.91859,1.07257,0.84198,0.6,0.63855,0.36067,1.87963,1.62771,1.78076,0.00541844,0.00541844,0.00541844
73,2100.53,1.47097,0.91477,1.0841,0.83458,0.59615,0.68246,0.37994,1.87014,1.53564,1.77968,0.005314,0.005314,0.005314
74,2129.37,1.46692,0.91831,1.06599,0.86808,0.6,0.64021,0.33111,2.00593,1.67133,1.92191,0.00520943,0.00520943,0.00520943
75,2158.43,1.4666,0.91491,1.07351,0.83898,0.56538,0.6442,0.34439,1.99788,1.71709,1.90638,0.00510476,0.00510476,0.00510476
76,2186.59,1.45666,0.92597,1.06815,0.86836,0.55769,0.63124,0.35941,1.89995,1.64733,1.79539,0.00500005,0.00500005,0.00500005
77,2215.15,1.44843,0.91658,1.07193,0.8478,0.58077,0.64078,0.35208,1.96575,1.95161,1.83718,0.00489534,0.00489534,0.00489534
