epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,539.253,1.72886,1.5081,1.4443,0.43681,0.16667,0.14386,0.06868,2.52984,3.43584,2.41399,0.0011684,0.0011684,0.0011684
44,551.486,1.83365,1.55933,1.52022,0.59624,0.15556,0.15604,0.08514,2.50239,3.27622,2.38921,0.0011486,0.0011486,0.0011486
45,562.04,1.73896,1.45967,1.4558,0.45725,0.17778,0.18868,0.0938,2.52834,3.02932,2.39409,0.0011288,0.0011288,0.0011288
46,574.691,1.81576,1.56492,1.50172,0.44027,0.20103,0.21662,0.1033,2.46765,3.0147,2.3265,0.001109,0.001109,0.001109
47,587.847,1.78966,1.57261,1.49555,0.43736,0.19868,0.22003,0.10669,2.47538,3.0483,2.33971,0.0010892,0.0010892,0.0010892
48,600.389,1.75777,1.57883,1.4753,0.51926,0.16667,0.16862,0.08497,2.48858,3.15656,2.3937,0.0010694,0.0010694,0.0010694
49,612.644,1.78226,1.51059,1.48085,0.54387,0.2,0.19473,0.09231,2.52571,3.09866,2.41992,0.0010496,0.0010496,0.0010496
50,625.426,1.71305,1.47446,1.43263,0.38688,0.21111,0.18874,0.09647,2.48376,3.14556,2.4048,0.0010298,0.0010298,0.0010298
51,638.003,1.69674,1.46798,1.43814,0.46419,0.21111,0.22089,0.10991,2.44922,3.02515,2.3648,0.00101,0.00101,0.00101
52,650.073,1.73862,1.47479,1.48119,0.44959,0.26667,0.24499,0.1181,2.46665,2.91162,2.37058,0.0009902,0.0009902,0.0009902
53,661.353,1.76614,1.54012,1.47167,0.45208,0.23333,0.21668,0.10695,2.42698,2.94572,2.33262,0.0009704,0.0009704,0.0009704
54,673.654,1.76981,1.52141,1.46683,0.39649,0.19714,0.18353,0.08609,2.44457,3.03753,2.34013,0.0009506,0.0009506,0.0009506
55,686.472,1.73836,1.5153,1.44551,0.31917,0.18889,0.17621,0.08071,2.4993,3.22434,2.40229,0.0009308,0.0009308,0.0009308
56,698.983,1.77368,1.50952,1.43914,0.27821,0.16667,0.14806,0.06415,2.60973,3.32876,2.51124,0.000911,0.000911,0.000911
57,711.584,1.68983,1.48673,1.41533,0.31471,0.15556,0.1449,0.06989,2.57614,3.2459,2.46952,0.0008912,0.0008912,0.0008912
58,724.52,1.725,1.43616,1.44807,0.26518,0.15556,0.1196,0.05683,2.5265,3.34299,2.4264,0.0008714,0.0008714,0.0008714
59,737.084,1.76426,1.49224,1.4687,0.30932,0.17421,0.14444,0.06982,2.55188,3.30114,2.44682,0.0008516,0.0008516,0.0008516
60,749.736,1.72747,1.47905,1.44992,0.49742,0.16667,0.1794,0.09058,2.48147,3.13434,2.39116,0.0008318,0.0008318,0.0008318
61,762.334,1.70835,1.50757,1.43637,0.49761,0.22015,0.21012,0.10554,2.44489,2.98923,2.36627,0.000812,0.000812,0.000812
62,774.553,1.66956,1.41291,1.4084,0.40325,0.21111,0.20725,0.10069,2.45429,3.02361,2.39161,0.0007922,0.0007922,0.0007922
63,786.99,1.72175,1.48669,1.41957,0.42967,0.2,0.19773,0.10158,2.44506,3.05094,2.37648,0.0007724,0.0007724,0.0007724
64,799.353,1.76649,1.55521,1.46023,0.3347,0.22222,0.1985,0.10356,2.40292,3.062,2.35426,0.0007526,0.0007526,0.0007526
65,811.53,1.70646,1.44528,1.41536,0.59862,0.18889,0.20105,0.08983,2.42599,3.12952,2.34687,0.0007328,0.0007328,0.0007328
66,824.033,1.69436,1.44369,1.41659,0.41462,0.2,0.19842,0.08846,2.41714,3.07812,2.32833,0.000713,0.000713,0.000713
67,836.505,1.7557,1.5209,1.45921,0.34388,0.22222,0.19321,0.09655,2.44741,3.09414,2.3626,0.0006932,0.0006932,0.0006932
68,849.462,1.72031,1.44926,1.43262,0.50027,0.22222,0.20883,0.10328,2.43012,2.97522,2.3589,0.0006734,0.0006734,0.0006734
69,861.164,1.59994,1.34562,1.36008,0.47927,0.2,0.20246,0.10132,2.46479,2.94116,2.38589,0.0006536,0.0006536,0.0006536
70,871.763,1.6323,1.33253,1.38099,0.47475,0.22222,0.22388,0.11579,2.45452,2.93743,2.37501,0.0006338,0.0006338,0.0006338
71,883.572,1.67192,1.41579,1.40286,0.69223,0.2,0.22615,0.10978,2.42866,2.99392,2.33185,0.000614,0.000614,0.000614
72,897.068,1.68135,1.42942,1.42403,0.67943,0.18889,0.21026,0.1028,2.42943,3.02899,2.31177,0.0005942,0.0005942,0.0005942
73,909.327,1.66534,1.35483,1.38966,0.45287,0.2,0.19966,0.09386,2.41909,3.00689,2.3379,0.0005744,0.0005744,0.0005744
74,922.137,1.70723,1.46432,1.42002,0.44193,0.20241,0.19215,0.08498,2.45311,3.10736,2.37093,0.0005546,0.0005546,0.0005546
75,934.704,1.61724,1.31751,1.36812,0.50507,0.18889,0.1987,0.0914,2.44563,3.16054,2.3704,0.0005348,0.0005348,0.0005348
76,947.311,1.67088,1.45029,1.4013,0.47116,0.2,0.19947,0.09083,2.4622,3.20264,2.39779,0.000515,0.000515,0.000515
77,959.396,1.66112,1.40599,1.3999,0.51574,0.2,0.18064,0.08453,2.45339,3.19641,2.38404,0.0004952,0.0004952,0.0004952
78,971.861,1.62213,1.39564,1.36807,0.41133,0.16667,0.18198,0.09011,2.4338,3.15788,2.35624,0.0004754,0.0004754,0.0004754
79,984.463,1.72047,1.43274,1.43192,0.51382,0.16667,0.19603,0.08933,2.43213,3.1352,2.34528,0.0004556,0.0004556,0.0004556
80,997.126,1.63539,1.36786,1.3814,0.30511,0.18889,0.18258,0.0863,2.42676,3.16929,2.34209,0.0004358,0.0004358,0.0004358
81,1010.19,1.62817,1.38375,1.40115,0.321,0.2,0.1907,0.09059,2.43378,3.15529,2.35538,0.000416,0.000416,0.000416
82,1022.79,1.71029,1.37574,1.42819,0.44157,0.22222,0.20211,0.09442,2.4433,3.10817,2.35584,0.0003962,0.0003962,0.0003962
83,1035.65,1.67798,1.37949,1.40102,0.46942,0.22222,0.20943,0.09299,2.44496,3.10444,2.34686,0.0003764,0.0003764,0.0003764
84,1048.14,1.65809,1.42871,1.38869,0.39272,0.23333,0.19908,0.08793,2.43621,3.14457,2.34838,0.0003566,0.0003566,0.0003566
85,1060.76,1.63176,1.37441,1.38247,0.4057,0.2,0.19454,0.08715,2.4142,3.13676,2.33427,0.0003368,0.0003368,0.0003368
86,1073.32,1.66625,1.42107,1.39641,0.46289,0.2,0.21471,0.09611,2.40874,3.05782,2.34106,0.000317,0.000317,0.000317
87,1084.9,1.58523,1.31911,1.36737,0.50598,0.21111,0.2315,0.10259,2.41124,2.96558,2.3387,0.0002972,0.0002972,0.0002972
88,1097.06,1.64609,1.40312,1.40051,0.56324,0.21111,0.23967,0.10769,2.38933,2.9025,2.32604,0.0002774,0.0002774,0.0002774
89,1109.42,1.67654,1.39665,1.41606,0.56538,0.21111,0.2309,0.10511,2.38254,2.95587,2.31249,0.0002576,0.0002576,0.0002576
90,1122.12,1.60267,1.33519,1.36672,0.59189,0.20953,0.2304,0.10375,2.39496,2.98455,2.32728,0.0002378,0.0002378,0.0002378
91,1136.09,1.50707,1.13815,1.36932,0.39571,0.23333,0.21698,0.09758,2.4608,3.11206,2.35052,0.000218,0.000218,0.000218
92,1146.75,1.44698,1.05441,1.3346,0.39764,0.23333,0.2121,0.09664,2.47253,3.16835,2.34694,0.0001982,0.0001982,0.0001982
93,1157.93,1.45834,1.12692,1.32927,0.36964,0.21111,0.2048,0.09602,2.45433,3.22788,2.33794,0.0001784,0.0001784,0.0001784
94,1168.14,1.48833,1.08022,1.35159,0.36183,0.22222,0.20674,0.09762,2.44367,3.16187,2.33395,0.0001586,0.0001586,0.0001586
95,1179.29,1.46522,1.02509,1.3266,0.37421,0.22222,0.20467,0.09558,2.45246,3.20045,2.3513,0.0001388,0.0001388,0.0001388
96,1190.35,1.47588,1.078,1.36284,0.41359,0.22222,0.19865,0.0929,2.45491,3.27531,2.35204,0.000119,0.000119,0.000119
97,1201.67,1.45684,1.06285,1.33608,0.42419,0.23333,0.205,0.09426,2.46091,3.23199,2.3573,9.92e-05,9.92e-05,9.92e-05
98,1212.01,1.43783,1.01994,1.31496,0.40454,0.23333,0.21549,0.09785,2.46184,3.19235,2.35866,7.94e-05,7.94e-05,7.94e-05
99,1222.5,1.42571,1.0383,1.32014,0.40329,0.22222,0.20986,0.09842,2.45122,3.20256,2.34198,5.96e-05,5.96e-05,5.96e-05
100,1234.4,1.42832,1.02572,1.31836,0.38608,0.23333,0.2161,0.09874,2.4459,3.15549,2.3367,3.98e-05,3.98e-05,3.98e-05
