epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1564.18,1.80004,1.28577,1.1868,0.68867,0.45624,0.48618,0.23539,1.70712,1.17075,1.30911,0.0011882,0.0011882,0.0011882
43,1599.99,1.78036,1.28381,1.18466,0.70214,0.45531,0.48244,0.23435,1.6979,1.18302,1.30605,0.0011684,0.0011684,0.0011684
44,1638.15,1.81537,1.29909,1.19553,0.68522,0.45469,0.48074,0.23415,1.68979,1.16013,1.30271,0.0011486,0.0011486,0.0011486
45,1673.63,1.80352,1.29535,1.19266,0.69281,0.45842,0.48137,0.23353,1.69776,1.14827,1.31968,0.0011288,0.0011288,0.0011288
46,1710.6,1.80964,1.29217,1.19198,0.6938,0.45624,0.48595,0.2397,1.68305,1.15871,1.30495,0.001109,0.001109,0.001109
47,1748.46,1.79317,1.28112,1.18683,0.68418,0.45541,0.48755,0.23957,1.6983,1.15053,1.30558,0.0010892,0.0010892,0.0010892
48,1782.89,1.78162,1.29158,1.17296,0.70709,0.46247,0.48934,0.23874,1.68631,1.1502,1.29532,0.0010694,0.0010694,0.0010694
49,1819.72,1.77356,1.26686,1.17548,0.69189,0.46123,0.48833,0.24184,1.67776,1.15086,1.29174,0.0010496,0.0010496,0.0010496
50,1855.54,1.77087,1.24747,1.17727,0.68778,0.46514,0.48864,0.23853,1.69092,1.14423,1.29564,0.0010298,0.0010298,0.0010298
51,1892.52,1.76075,1.27043,1.16553,0.69405,0.46063,0.49067,0.24189,1.67872,1.17134,1.29109,0.00101,0.00101,0.00101
52,1929.73,1.76294,1.27342,1.17823,0.68527,0.46714,0.49064,0.24461,1.6655,1.1608,1.28629,0.0009902,0.0009902,0.0009902
53,1967.84,1.76251,1.27316,1.17981,0.71408,0.46559,0.48951,0.23789,1.70018,1.15992,1.30571,0.0009704,0.0009704,0.0009704
54,2004.75,1.77131,1.25522,1.17325,0.68993,0.46621,0.49475,0.24693,1.66257,1.15411,1.28538,0.0009506,0.0009506,0.0009506
55,2040.46,1.77516,1.25617,1.1617,0.69995,0.46569,0.49429,0.24398,1.67539,1.14898,1.28804,0.0009308,0.0009308,0.0009308
56,2077.9,1.75268,1.26155,1.17074,0.7138,0.46372,0.49607,0.24427,1.67454,1.15947,1.30059,0.000911,0.000911,0.000911
57,2113.24,1.74343,1.23063,1.16517,0.69782,0.46674,0.49589,0.24558,1.68415,1.14864,1.29555,0.0008912,0.0008912,0.0008912
58,2149.69,1.75627,1.25477,1.16957,0.67938,0.47057,0.48943,0.24295,1.67741,1.14861,1.3004,0.0008714,0.0008714,0.0008714
